k,alpha,shot,seed,modularity,nmi,n_used,collapsed,best_epoch,time
5,10.0,8,50,0.01863720694889523,0.1229812821469175,4,False,1,2.9318900108337402
5,10.0,9,51,-0.018515395138771762,0.1617060531240945,5,False,0,7.090719938278198
6,0.0,0,42,0.0,0.0,1,True,0,8.701740741729736
6,0.0,1,43,0.0,0.0,1,True,0,6.719310760498047
6,0.0,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,7.081517934799194
6,0.0,3,45,0.012340473379434329,0.0984538168372742,3,False,3,10.663152933120728
6,0.0,4,46,0.3476602762317048,0.7323776321005694,2,False,4916,16.808418035507202
6,0.0,5,47,0.030902719214407535,0.09577868930484182,6,False,0,12.247978925704956
6,0.0,6,48,0.0787091696182605,0.1319832725392984,2,True,9,5.359703063964844
6,0.0,7,49,0.04066640430276798,0.08841241724654092,2,True,586,4.756243944168091
6,0.0,8,50,0.06281741346676413,0.06813830393549664,3,True,4,3.8421812057495117
6,0.0,9,51,0.01092558235415379,0.2281608043474225,6,False,0,5.542653322219849
6,0.1,0,42,-0.03143681715110285,0.10687198938173606,6,False,2,7.173192977905273
6,0.1,1,43,-0.0018365472910926808,0.05045146296538818,2,True,3,9.068997859954834
6,0.1,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,13.319416046142578
6,0.1,3,45,-0.032570603999175406,0.23776875813383866,6,False,0,10.335869789123535
6,0.1,4,46,0.14336313037611736,0.12161284959439585,2,False,14,11.153693914413452
6,0.1,5,47,0.030902719214407535,0.09577868930484182,6,False,0,9.340219974517822
6,0.1,6,48,0.06915162759318602,0.1902505098032345,4,False,4,6.719711780548096
6,0.1,7,49,0.0,0.0,1,True,0,24.36940908432007
6,0.1,8,50,0.04921197128989337,0.16429720441358264,6,False,0,10.763912916183472
6,0.1,9,51,0.11456869249077047,0.11978481344745683,2,False,5165,22.503319025039673
6,1.0,0,42,-0.03143681715110285,0.10687198938173606,6,False,2,9.026715755462646
