graph,config,shot_seed,k,mod,nmi,used_k,collapse,best_epoch,time,error
lfr_n200_mu0.1,ortho,46,5,0.0016127890162639137,0.046090163495014616,5,False,0,3.5843310356140137,
lfr_n200_mu0.1,ortho,43,5,0.04099009033854594,0.04966569210312321,4,False,2,6.975868225097656,
lfr_n200_mu0.1,ortho,48,5,-0.01190771231794398,0.04569817589371726,5,False,0,5.189069032669067,
lfr_n200_mu0.1,ortho,51,5,0.018025782263234008,0.05064979537801822,5,False,0,4.150179862976074,
lfr_n200_mu0.1,ortho,52,5,0.3437630439319629,0.42531816957896046,2,False,20,4.782943248748779,
lfr_n200_mu0.1,ortho,49,5,0.0329200891459579,0.06952662660608148,5,False,0,7.009329795837402,
lfr_n200_mu0.1,ortho,50,5,0.36121070049641474,0.5548479033241007,2,False,134,6.972666025161743,
lfr_n200_mu0.1,ortho,53,5,0.0198011545743206,0.06989481519726587,5,False,0,6.905813932418823,
lfr_n200_mu0.1,ortho,55,5,0.010218057274041828,0.05563553472351889,5,False,0,5.865153074264526,
lfr_n200_mu0.1,ortho,60,5,0.017784469521921274,0.0354839155664183,5,False,0,2.3910000324249268,
lfr_n200_mu0.1,ortho,54,5,0.030753398875985747,0.11075000739518405,5,False,0,7.185776233673096,
lfr_n200_mu0.1,ortho,59,5,0.025749187549380607,0.04719266214366294,5,False,0,3.418412208557129,
lfr_n200_mu0.1,ortho,57,5,-0.0009275167335012682,0.051168648258080165,5,False,0,6.253214359283447,
lfr_n200_mu0.1,ortho,56,5,0.35959092365945655,0.5311711800904976,2,False,76,6.896284103393555,
lfr_n200_mu0.1,ortho,58,5,-0.0016109255974120894,0.06911965664772704,5,False,0,6.7657270431518555,
lfr_n200_mu0.1,ortho,61,5,0.009679063371148372,0.06588275505765913,5,False,0,5.969872951507568,
lfr_n200_mu0.3,baseline,47,6,0.024530099237545858,0.03819363988229165,5,False,4,4.583266973495483,
lfr_n200_mu0.3,baseline,46,6,0.02526228467520784,0.03300292543355956,4,False,5,5.89043402671814,
lfr_n200_mu0.3,baseline,45,6,0.012588683130523042,0.023942820429895262,3,False,4,5.918751955032349,
lfr_n200_mu0.3,baseline,48,6,0.06957233576967406,0.11839403686719825,2,True,10,6.3113648891448975,
lfr_n200_mu0.3,baseline,43,6,0.0006502863448925594,0.048476022448971395,6,False,1,6.4525837898254395,
lfr_n200_mu0.3,baseline,49,6,0.0028355202026568668,0.03956096388032013,5,True,3,7.599258899688721,
lfr_n200_mu0.3,baseline,42,6,0.22474130076894563,0.3911501987418617,2,False,584,8.581165075302124,
lfr_n200_mu0.3,baseline,44,6,0.020297765475720497,0.0634590855216383,6,False,0,8.794073820114136,
lfr_n200_mu0.3,baseline,51,6,0.0,0.0,1,True,0,3.8301010131835938,
lfr_n200_mu0.3,baseline,50,6,0.0014896576919855437,0.03190701796693315,5,True,2,5.315113067626953,
lfr_n200_mu0.3,baseline,55,6,0.10097931689363158,0.2187422165406531,3,False,8,5.136616945266724,
lfr_n200_mu0.3,baseline,52,6,0.03416588604628166,0.06722518455846065,6,False,0,6.8406171798706055,
lfr_n200_mu0.3,baseline,53,6,0.0,0.0,1,True,0,6.464890956878662,
lfr_n200_mu0.3,baseline,58,6,0.016216397783516176,0.04373132857310549,4,False,2,3.278394937515259,
lfr_n200_mu0.3,baseline,54,6,0.015189451094919178,0.047944194134077,6,False,0,6.945547103881836,
lfr_n200_mu0.3,baseline,56,6,0.05641262348080955,0.10402436635137387,4,False,3,6.998525857925415,
lfr_n200_mu0.3,baseline,57,6,0.0076037835116368226,0.0455407280070152,4,True,6,6.8879969120025635,
lfr_n200_mu0.3,ortho,44,6,0.020297765475720497,0.0634590855216383,6,False,0,2.697234869003296,
lfr_n200_mu0.3,baseline,59,6,0.0072837354440403144,0.047788528748078776,6,True,3,6.931484937667847,
lfr_n200_mu0.3,ortho,43,6,-0.017035766126384275,0.04278695335464785,6,False,0,4.445078611373901,
lfr_n200_mu0.3,ortho,42,6,0.20303728635470533,0.33842445985959907,2,False,31,5.538365364074707,
lfr_n200_mu0.3,baseline,60,6,0.01607864124498697,0.06650008504390842,6,False,1,6.133837938308716,
lfr_n200_mu0.3,baseline,61,6,0.013914542636969606,0.046774281923159966,4,False,3,7.132145881652832,
lfr_n200_mu0.3,ortho,47,6,0.013508821324863134,0.06822224215236694,6,False,0,4.52237606048584,
lfr_n200_mu0.3,ortho,45,6,0.0072082524092297855,0.052791719741789145,6,False,0,7.461577892303467,
lfr_n200_mu0.3,ortho,46,6,-0.006664019728245979,0.08351793927981274,6,False,0,7.392818927764893,
lfr_n200_mu0.3,ortho,48,6,-0.006108087176866557,0.052103893659422036,6,False,0,7.341811180114746,
lfr_n200_mu0.3,ortho,49,6,-0.04109975762397524,0.06692832733779297,6,False,0,7.306139945983887,
lfr_n200_mu0.3,ortho,53,6,-0.006166586528844699,0.06980478317946219,6,False,0,4.714950323104858,
lfr_n200_mu0.3,ortho,50,6,-0.00947915951150401,0.05673818943598196,6,False,0,7.373226881027222,
lfr_n200_mu0.3,ortho,51,6,-0.0004925268021386008,0.06544296306714763,6,False,0,7.236567974090576,
lfr_n200_mu0.3,ortho,52,6,0.03416588604628166,0.06722518455846065,6,False,0,7.208280801773071,
lfr_n200_mu0.3,ortho,56,6,0.006451912400428439,0.0471386053233151,6,False,0,4.662430286407471,
lfr_n200_mu0.3,ortho,59,6,-0.018093660859253582,0.045393403310406935,6,False,0,3.6341302394866943,
lfr_n200_mu0.3,ortho,54,6,0.015189451094919178,0.047944194134077,6,False,0,6.905979871749878,
lfr_n200_mu0.3,ortho,55,6,0.09756672888984837,0.21168794016395856,3,False,8,7.140762805938721,
lfr_n200_mu0.3,ortho,57,6,-0.02209426170421068,0.045118307460892015,6,False,0,7.156574964523315,
lfr_n200_mu0.3,ortho,58,6,0.0029242127685592005,0.0482602793017609,6,False,0,7.0920729637146,
lfr_n200_mu0.3,ortho,60,6,0.01607864124498697,0.06650008504390842,6,False,1,6.812801122665405,
lfr_n200_mu0.3,ortho,61,6,-0.01833747106169153,0.06150622129642808,6,False,1,6.730699062347412,
