graph,criterion,seed,n,k_true,mod,nmi,k_found,time,n_decisions,n_splits,n_collapsed,max_depth,min_size_used,target_k_used,wall_time,error
SBM_n200_p0.2_q0.15,min_size,42,200,2,0.1274738607581011,0.037743684468672184,8,346.81836128234863,8,0,0,3,15.0,,346.8209898471832,
SBM_n200_p0.2_q0.15,min_size,43,200,2,0.1274738607581011,0.037743684468672184,8,325.764564037323,8,0,0,3,15.0,,325.7668967247009,
SBM_n200_p0.2_q0.15,min_size,44,200,2,0.12752061597818393,0.06186448099372591,8,327.79754281044006,8,0,0,3,15.0,,327.79992723464966,
SBM_n200_p0.2_q0.15,min_size,45,200,2,0.12752061597818393,0.06186448099372591,8,263.9229600429535,8,0,0,3,15.0,,263.9253489971161,
SBM_n200_p0.2_q0.15,min_size,46,200,2,0.127718314521233,0.06330946038097816,8,264.98973417282104,8,0,0,3,15.0,,264.99208092689514,
lfr_n500_mu0.3,target_k,43,500,11,0.43082893277391976,0.7124373509976545,11,446.0724642276764,11,10,0,3,,11.0,446.49674224853516,
lfr_n500_mu0.3,target_k,44,500,11,0.44093563126929014,0.7872804972972923,11,457.94274830818176,11,10,0,3,,11.0,458.3711187839508,
lfr_n500_mu0.3,target_k,42,500,11,0.4523045066550926,0.7887830931374976,11,458.7126500606537,11,10,0,3,,11.0,459.1502730846405,
lfr_n500_mu0.3,modularity_gain,43,500,11,0.4622461540316358,0.7802412588753005,10,655.3384659290314,19,9,0,4,,,655.7747931480408,
lfr_n500_mu0.3,modularity_gain,46,500,11,0.47458351417824074,0.8627850862519529,11,722.2674880027771,21,10,0,4,,,722.6932370662689,
lfr_n500_mu0.3,modularity_gain,44,500,11,0.47459653501157406,0.8628185825551236,11,723.7013418674469,21,10,0,4,,,724.1442379951477,
lfr_n500_mu0.3,modularity_gain,45,500,11,0.47458351417824074,0.8627850862519529,11,725.3648159503937,21,10,0,4,,,725.8028168678284,
lfr_n500_mu0.3,modularity_gain,42,500,11,0.47040388695987656,0.82338422238569,11,770.6026620864868,21,10,0,4,,,771.0651261806488,
lfr_n500_mu0.3,target_k,45,500,11,0.4414967930169753,0.787361694248988,11,487.98606991767883,11,10,0,3,,11.0,487.98889112472534,
lfr_n500_mu0.3,target_k,46,500,11,0.4414967930169753,0.787361694248988,11,481.16663885116577,11,10,0,3,,11.0,481.1695578098297,
lfr_n500_mu0.3,min_size,42,500,11,0.4183328510802469,0.7726973879692779,15,601.3533871173859,15,0,0,4,23.0,,601.356338262558,
lfr_n500_mu0.3,min_size,43,500,11,0.42069516782407407,0.7441606693050277,14,576.9713790416718,14,0,0,4,23.0,,576.9744799137115,
lfr_n500_mu0.3,min_size,44,500,11,0.4121122685185185,0.7940284862852007,16,641.2206089496613,16,0,0,5,23.0,,641.2235329151154,
lfr_n500_mu0.3,min_size,45,500,11,0.4119971305941358,0.7943724514379741,16,642.0672540664673,16,0,0,5,23.0,,642.0701570510864,
lfr_n500_mu0.3,min_size,46,500,11,0.4119971305941358,0.7943724514379739,16,644.9073331356049,16,0,0,5,23.0,,644.9102320671082,
SBM_n500_p0.2_q0.05,target_k,44,500,2,0.3007819044590978,1.0,2,155.81445288658142,2,1,0,1,,2.0,156.36641669273376,
SBM_n500_p0.2_q0.05,target_k,43,500,2,0.3007819044590978,1.0,2,156.24221205711365,2,1,0,1,,2.0,156.8152048587799,
SBM_n500_p0.2_q0.05,target_k,42,500,2,0.3007819044590978,1.0,2,156.4431700706482,2,1,0,1,,2.0,156.99843096733093,
SBM_n500_p0.2_q0.05,target_k,45,500,2,0.3007819044590978,1.0,2,158.28832817077637,2,1,0,1,,2.0,158.29450273513794,
SBM_n500_p0.2_q0.05,target_k,46,500,2,0.3007819044590978,1.0,2,159.40132904052734,2,1,0,1,,2.0,159.40827107429504,
SBM_n500_p0.2_q0.05,modularity_gain,44,500,2,0.3007819044590978,1.0,2,332.2709140777588,3,1,0,1,,,332.8636338710785,
SBM_n500_p0.2_q0.05,modularity_gain,46,500,2,0.3007819044590978,1.0,2,334.6025230884552,3,1,0,1,,,335.1397521495819,
SBM_n500_p0.2_q0.05,modularity_gain,43,500,2,0.3007819044590978,1.0,2,334.7605011463165,3,1,0,1,,,335.3828458786011,
SBM_n500_p0.2_q0.05,modularity_gain,45,500,2,0.3007819044590978,1.0,2,335.45644903182983,3,1,0,1,,,336.0378680229187,
SBM_n500_p0.2_q0.05,modularity_gain,42,500,2,0.3007819044590978,1.0,2,335.89186096191406,3,1,0,1,,,336.51716566085815,
SBM_n500_p0.2_q0.05,min_size,42,500,2,0.12110333357321088,0.40031609142348556,16,789.888072013855,16,0,0,4,23.0,,789.8955702781677,
SBM_n500_p0.2_q0.05,min_size,43,500,2,0.12023513075507948,0.40010537477603564,16,785.388396024704,16,0,0,4,23.0,,785.3980331420898,
SBM_n500_p0.2_q0.05,min_size,44,500,2,0.12016756035852967,0.40010537477603564,16,790.7185518741608,16,0,0,4,23.0,,790.7256660461426,
SBM_n500_p0.2_q0.05,min_size,45,500,2,0.11994136572723911,0.4000552483901626,16,781.6325919628143,16,0,0,4,23.0,,781.6395497322083,
SBM_n500_p0.2_q0.05,min_size,46,500,2,0.11994136572723911,0.4000552483901626,16,785.5764107704163,16,0,0,4,23.0,,785.583263874054,
polblogs,target_k,44,1222,2,0.42568252328279393,0.7286769625628147,2,215.9797911643982,2,1,0,1,,2.0,216.41254997253418,
polblogs,target_k,43,1222,2,0.42568252328279393,0.7286769625628147,2,218.16638088226318,2,1,0,1,,2.0,218.61807107925415,
polblogs,target_k,42,1222,2,0.42568252328279393,0.7286769625628147,2,218.90030479431152,2,1,0,1,,2.0,219.35443687438965,
polblogs,target_k,45,1222,2,0.42568252328279393,0.7286769625628147,2,216.6423089504242,2,1,0,1,,2.0,216.65579080581665,
polblogs,target_k,46,1222,2,0.42568252328279393,0.7286769625628147,2,217.0181360244751,2,1,0,1,,2.0,217.02789306640625,
polblogs,modularity_gain,44,1222,2,0.42568252328279393,0.7286769625628147,2,461.752158164978,3,1,0,1,,,462.22805404663086,
polblogs,modularity_gain,43,1222,2,0.42568252328279393,0.7286769625628147,2,463.3891792297363,3,1,0,1,,,463.8774302005768,
polblogs,modularity_gain,45,1222,2,0.42568252328279393,0.7286769625628147,2,464.89263701438904,3,1,0,1,,,465.3575620651245,
polblogs,modularity_gain,42,1222,2,0.42568252328279393,0.7286769625628147,2,465.5695848464966,3,1,0,1,,,466.23579597473145,
polblogs,modularity_gain,46,1222,2,0.42568252328279393,0.7286769625628147,2,465.79388213157654,3,1,0,1,,,466.24227595329285,
polblogs,min_size,42,1222,2,0.19637385383724892,0.2713420368267636,24,1482.2650120258331,24,0,0,5,35.0,,1482.2761390209198,
polblogs,min_size,44,1222,2,0.20340841678175325,0.27467526895641253,22,1406.177827835083,22,0,0,5,35.0,,1406.189547777176,
polblogs,min_size,45,1222,2,0.20313699604073338,0.2748098617791647,22,1399.594202041626,22,0,0,5,35.0,,1399.6080770492554,
polblogs,min_size,43,1222,2,0.2023726823073876,0.2727571811214533,23,1440.0022950172424,23,0,0,5,35.0,,1440.015388250351,
polblogs,min_size,46,1222,2,0.20081582401945924,0.27220540105649177,23,1418.241291999817,23,0,0,5,35.0,,1418.2516989707947,
email_eu_core,modularity_gain,43,986,42,0.40830692962090875,0.5593879824338819,8,900.8630177974701,15,7,0,5,,,901.3616979122162,
email_eu_core,modularity_gain,46,986,42,0.40830692962090875,0.559387982433882,8,904.5901980400085,15,7,0,5,,,905.0628888607025,
email_eu_core,modularity_gain,45,986,42,0.40830692962090875,0.559387982433882,8,905.1563391685486,15,7,0,5,,,905.6384179592133,
email_eu_core,modularity_gain,44,986,42,0.40830692962090875,0.559387982433882,8,905.3905889987946,15,7,0,5,,,905.8874578475952,
email_eu_core,modularity_gain,42,986,42,0.40830692962090875,0.559387982433882,8,911.4369070529938,15,7,0,5,,,912.052227973938,
email_eu_core,target_k,42,986,42,0.2250733917696991,0.6794327209590674,42,1837.3292610645294,42,41,0,5,,42.0,1837.7896389961243,
email_eu_core,target_k,43,986,42,0.23037461203182785,0.6812994073180852,42,1839.4592688083649,42,41,0,5,,42.0,1839.911978006363,
email_eu_core,target_k,44,986,42,0.2258262843174116,0.6794448879558723,42,1857.6380789279938,42,41,0,5,,42.0,1858.0812821388245,
email_eu_core,min_size,42,986,42,0.32558937440291125,0.6675612853263985,19,1286.9686739444733,19,0,0,5,32.0,,1286.9784030914307,
email_eu_core,min_size,43,986,42,0.32535420289707706,0.6675612853263985,19,1293.6584980487823,19,0,0,5,32.0,,1293.6680438518524,
email_eu_core,min_size,44,986,42,0.32558937440291125,0.6675612853263985,19,1295.4671559333801,19,0,0,5,32.0,,1295.4766347408295,
email_eu_core,target_k,45,986,42,0.234407530253116,0.6859109839324585,42,1831.274790763855,42,41,0,5,,42.0,1831.2867650985718,
email_eu_core,target_k,46,986,42,0.234292650349176,0.6860933771079646,42,1841.827509880066,42,41,0,5,,42.0,1841.8370671272278,
email_eu_core,min_size,46,986,42,0.3202764026377061,0.6765560345323425,20,1180.522439956665,20,0,0,5,32.0,,1180.5311679840088,
email_eu_core,min_size,45,986,42,0.3202764026377061,0.6765560345323425,20,1184.7490012645721,20,0,0,5,32.0,,1184.7598011493683,
