graph,k,lr,alpha_ortho,epochs,shot,best_epoch,modularity,nmi,n_used,collapsed,time,error
polbooks,3,0.014,0.1,10000,44,9,0.06346892498496001,0.005437215496564599,2,False,5.478687286376953,
polbooks,3,0.014,0.5,3000,42,0,-0.02071153480288558,0.011834692844254459,3,False,3.9238319396972656,
polbooks,3,0.014,0.5,3000,44,0,-0.007298913518544198,0.002629995545917695,3,False,3.897556781768799,
polbooks,3,0.014,0.5,3000,46,1,0.04552886914402951,0.01804431696738243,3,False,3.93386173248291,
polbooks,3,0.014,0.5,10000,42,0,-0.02071153480288558,0.011834692844254459,3,False,3.770664930343628,
polbooks,3,0.014,0.5,3000,43,0,-0.006640751538710743,0.05025672802181103,3,False,6.589756965637207,
polbooks,3,0.014,0.5,10000,44,0,-0.007298913518544198,0.002629995545917695,3,False,3.554136037826538,
polbooks,3,0.014,0.5,3000,45,0,-0.014394722363624171,0.00849459765566817,3,False,6.220495223999023,
polbooks,3,0.014,0.5,10000,46,1,0.04552886914402951,0.01804431696738243,3,False,3.911703109741211,
polbooks,3,0.014,0.5,10000,45,0,-0.014394722363624171,0.00849459765566817,3,False,5.638099193572998,
polbooks,3,0.014,0.5,10000,43,0,-0.006640751538710743,0.05025672802181103,3,False,6.26441502571106,
polbooks,3,0.014,1.0,3000,46,1,0.04552886914402951,0.01804431696738243,3,False,2.8287899494171143,
polbooks,3,0.014,1.0,3000,43,0,-0.006640751538710743,0.05025672802181103,3,False,4.622002124786377,
polbooks,3,0.014,1.0,3000,42,0,-0.02071153480288558,0.011834692844254459,3,False,5.38835597038269,
polbooks,3,0.014,1.0,3000,44,89,0.45687496464950306,0.5979222938719462,2,False,5.972381830215454,
polbooks,3,0.014,1.0,3000,45,0,-0.014394722363624171,0.00849459765566817,3,False,5.998363971710205,
polbooks,3,0.014,1.0,10000,43,0,-0.006640751538710743,0.05025672802181103,3,False,4.803013801574707,
polbooks,3,0.014,1.0,10000,46,1,0.04552886914402951,0.01804431696738243,3,False,3.231093168258667,
polbooks,3,0.014,1.0,10000,42,0,-0.02071153480288558,0.011834692844254459,3,False,5.807963132858276,
polbooks,3,0.014,1.0,10000,44,89,0.45687496464950306,0.5979222938719462,2,False,9.718014240264893,
lfr_n200_mu0.1,5,0.001,0.0,3000,42,41,0.02590012447637929,0.08126281031691049,5,False,8.581560850143433,
polbooks,3,0.014,1.0,10000,45,0,-0.014394722363624171,0.00849459765566817,3,False,9.941245079040527,
lfr_n200_mu0.1,5,0.001,0.0,3000,44,90,0.15992186684754245,0.20643890013195304,2,False,8.503285884857178,
lfr_n200_mu0.1,5,0.001,0.0,3000,43,147,0.23371045825196407,0.280993063201736,3,False,8.926378011703491,
lfr_n200_mu0.1,5,0.001,0.0,3000,45,19,0.015392771425590004,0.06547945090104801,5,False,8.843852043151855,
lfr_n200_mu0.1,5,0.001,0.0,3000,46,1,0.014037134210879439,0.06062990886732109,5,False,9.043225765228271,
lfr_n200_mu0.1,5,0.001,0.1,3000,42,8,0.01249748438455005,0.04961425530525864,5,False,8.724440813064575,
lfr_n200_mu0.1,5,0.001,0.1,3000,43,70,0.1955401864909587,0.16640467587967653,3,False,8.678735733032227,
lfr_n200_mu0.1,5,0.001,0.1,3000,44,90,0.15870179335430307,0.1962480725852078,2,False,8.618674039840698,
lfr_n200_mu0.1,5,0.001,0.1,3000,45,0,-0.013858246001103127,0.04611736836920939,5,False,8.383350849151611,
lfr_n200_mu0.1,5,0.001,0.1,3000,46,1,0.014037134210879439,0.06062990886732109,5,False,8.254878044128418,
lfr_n200_mu0.1,5,0.001,0.0,10000,43,147,0.23371045825196407,0.280993063201736,3,False,21.76340365409851,
lfr_n200_mu0.1,5,0.001,0.0,10000,42,41,0.02590012447637929,0.08126281031691049,5,False,28.470612049102783,
lfr_n200_mu0.1,5,0.001,0.0,10000,45,19,0.015392771425590004,0.06547945090104801,5,False,25.0915949344635,
lfr_n200_mu0.1,5,0.001,0.0,10000,44,6080,0.16269836093677797,0.2378508251803945,2,False,26.378854990005493,
lfr_n200_mu0.1,5,0.001,0.0,10000,46,1,0.014037134210879439,0.06062990886732109,5,False,25.655659675598145,
lfr_n200_mu0.1,5,0.001,0.5,3000,42,8,0.01249748438455005,0.04961425530525864,5,False,7.850925922393799,
lfr_n200_mu0.1,5,0.001,0.5,3000,43,4,0.044533847140024764,0.0769362513304632,4,False,7.769651889801025,
lfr_n200_mu0.1,5,0.001,0.5,3000,44,3,0.013461803640375055,0.02535067085693684,5,False,7.437565088272095,
lfr_n200_mu0.1,5,0.001,0.1,10000,42,8,0.01249748438455005,0.04961425530525864,5,False,23.958181142807007,
lfr_n200_mu0.1,5,0.001,0.5,3000,45,0,-0.013858246001103127,0.04611736836920939,5,False,8.00200605392456,
